5.000000000000000278e-02 1.256479467787923456e+19 3.015550723541740028e+21
1.000000000000000056e-01 3.067576716613494500e+15 3.681092126399044480e+17
1.500000000000000222e-01 2.364286819574928516e+13 1.891429844651489750e+15
2.000000000000000111e-01 7.489183930697578125e+11 4.493515550829344531e+13
2.500000000000000000e-01 5.146494530981109619e+10 2.470328264148715332e+12
3.000000000000000444e-01 5.772035042410942078e+09 2.308844406963414612e+11
3.500000000000000333e-01 9.077162003736006021e+08 3.112273130707887650e+10
4.000000000000000222e-01 1.828147832266700268e+08 5.484849156472225189e+09
4.500000000000000111e-01 4.447490596944424510e+07 1.186175360206123114e+09
5.000000000000000000e-01 1.255770522682626732e+07 3.014699999893079996e+08
5.500000000000000444e-01 3.999528952507150825e+06 8.730610739624255896e+07
6.000000000000000888e-01 1.406851036661153659e+06 2.816076463896869123e+07
6.500000000000000222e-01 5.378370602529710159e+05 9.942858868809195235e+06
7.000000000000000666e-01 2.206834832477078016e+05 3.791217279868798330e+06
7.500000000000000000e-01 9.621875418336658913e+04 1.544480555680151796e+06
8.000000000000000444e-01 4.421647120458244899e+04 6.664175735048933420e+05
8.500000000000000888e-01 2.127214315610726771e+04 3.023870671863281750e+05
9.000000000000000222e-01 1.065286489153092771e+04 1.434289358611383650e+05
9.500000000000000666e-01 5.526134410242982995e+03 7.075663593526407203e+04
1.000000000000000000e+00 2.956718094065256992e+03 3.614629341347427544e+04
1.050000000000000044e+00 1.625394907985996269e+03 1.904927875849825432e+04
1.100000000000000089e+00 9.148096204418660591e+02 1.032175334983493303e+04
1.150000000000000133e+00 5.253751873018302376e+02 5.732945448082817165e+03
1.200000000000000178e+00 3.068647169644108885e+02 3.255005931737900937e+03
1.250000000000000000e+00 1.816768973841464287e+02 1.884319132504283289e+03
1.300000000000000044e+00 1.086299616032834194e+02 1.109463481767751091e+03
1.350000000000000089e+00 6.532626412842422781e+01 6.627824968243661488e+02
1.400000000000000133e+00 3.930879288225506230e+01 4.007305731101228616e+02
1.450000000000000178e+00 2.350658861736539507e+01 2.445776007120025497e+02
1.500000000000000000e+00 1.383077527559917641e+01 1.502438693000515002e+02
1.550000000000000044e+00 7.876692941238965240e+00 9.257808184877906399e+01
1.600000000000000089e+00 4.208416934413722998e+00 5.697732457016729057e+01
1.650000000000000133e+00 1.956645803367452530e+00 3.482657984396478668e+01
1.700000000000000178e+00 5.886368188808495105e-01 2.096849074836682192e+01
1.750000000000000000e+00 -2.256158497291962384e-01 1.227411653381720669e+01
1.800000000000000044e+00 -6.924200295013105411e-01 6.822000654743312076e+00
1.850000000000000089e+00 -9.417319139627378100e-01 3.419251394411502165e+00
1.900000000000000133e+00 -1.055889436256827851e+00 1.318072450410144203e+00
1.950000000000000178e+00 -1.087259776314888571e+00 4.570320915966965408e-02
2.000000000000000000e+00 -1.067615586065609357e+00 -7.599124619365181799e-01
2.050000000000000266e+00 -1.017293712131403183e+00 -1.205290696225210123e+00
2.100000000000000089e+00 -9.508838408560952304e-01 -1.421270758344078677e+00
2.149999999999999911e+00 -8.775242709339137193e-01 -1.494787684311851494e+00
2.200000000000000178e+00 -8.028340225341606962e-01 -1.481916286520349679e+00
2.250000000000000000e+00 -7.301639143859995906e-01 -1.418744911307847190e+00
2.300000000000000266e+00 -6.614083543030607748e-01 -1.328367978697304164e+00
2.350000000000000089e+00 -5.975337647251153239e-01 -1.225412017097023076e+00
2.400000000000000355e+00 -5.389231044636583201e-01 -1.118981645719842932e+00
2.450000000000000178e+00 -4.856004213254102586e-01 -1.014585959609385801e+00
