5.000000000000000278e-02 1.638399974400000000e+16 3.932159969280000000e+18
1.000000000000000056e-01 3.999995999999120605e+12 4.799997600000000000e+14
1.500000000000000222e-01 3.082903535017557526e+10 2.466336874723625977e+12
2.000000000000000111e-01 9.764999991206467152e+08 5.859187500000000000e+10
2.500000000000000000e-01 6.709247912064671516e+07 3.220832256000000000e+09
3.000000000000000444e-01 7.521217844832458533e+06 3.009584883364283442e+08
3.500000000000000333e-01 1.181528093964922475e+06 4.054686704113726318e+07
4.000000000000000222e-01 2.374411372482776642e+05 7.137908935546875000e+06
4.500000000000000111e-01 5.752834123194621498e+04 1.540535337797210552e+06
5.000000000000000000e-01 1.612712064671516418e+04 3.901440000000000000e+05
5.500000000000000444e-01 5.075062637987881317e+03 1.123242470033367135e+05
6.000000000000000888e-01 1.750961396676117602e+03 3.589415381952084863e+04
6.500000000000000222e-01 6.493172966270882398e+02 1.249320378321504904e+04
7.000000000000000666e-01 2.541116709419429753e+02 4.662698463966976306e+03
7.500000000000000000e-01 1.029231911180235102e+02 1.840637692613101535e+03
8.000000000000000444e-01 4.206951856613159180e+01 7.586739957332611084e+02
8.500000000000000888e-01 1.663591078150233926e+01 3.221393046447508937e+02
9.000000000000000222e-01 5.756765668417107129e+00 1.386596239942768705e+02
9.500000000000000666e-01 1.081621372051793983e+00 5.913755293752279130e+01
1.000000000000000000e+00 -8.793532848358154297e-01 2.400000000000000000e+01
1.050000000000000044e+00 -1.636865198672088351e+00 8.399072907851222070e+00
1.100000000000000089e+00 -1.862725734209498052e+00 1.588095389824057735e+00
1.150000000000000133e+00 -1.844926883355770597e+00 -2.294966695853875471e+00
1.200000000000000178e+00 -1.674438539893940536e+00 -4.156553147756446798e+00
1.250000000000000000e+00 -1.454052052656000349e+00 -4.499804905497599705e+00
1.300000000000000044e+00 -1.234766896383181489e+00 -4.209713639019283526e+00
1.350000000000000089e+00 -1.036694399095301922e+00 -3.695770361617578548e+00
1.400000000000000133e+00 -8.657934805290201652e-01 -3.142272865385741909e+00
1.450000000000000178e+00 -7.218091991391577533e-01 -2.626686305957834033e+00
1.500000000000000000e+00 -6.020256307105569249e-01 -2.176345287561171293e+00
1.550000000000000044e+00 -5.030065165355902534e-01 -1.795798076063142235e+00
1.600000000000000089e+00 -4.213655233110697451e-01 -1.479968650581488854e+00
1.650000000000000133e+00 -3.540717537676922877e-01 -1.220401834257158979e+00
1.700000000000000178e+00 -2.985376357072839770e-01 -1.008123222539095920e+00
1.750000000000000000e+00 -2.526099768205884444e-01 -8.348503412357825004e-01
1.800000000000000044e+00 -2.145226438710505501e-01 -6.934145493774567237e-01
1.850000000000000089e+00 -1.828384441399494575e-01 -5.778194920076775709e-01
1.900000000000000133e+00 -1.563925259167735504e-01 -4.831455033481014127e-01
1.950000000000000178e+00 -1.342421655921267332e-01 -4.054009095311777444e-01
2.000000000000000000e+00 -1.156242743600159883e-01 -3.413669052533805370e-01
2.050000000000000266e+00 -9.992037543745818651e-02 -2.884557743510050010e-01
2.100000000000000089e+00 -8.662818028157356909e-02 -2.445891807404013130e-01
2.149999999999999911e+00 -7.533872723235032764e-02 -2.080972087082073041e-01
2.200000000000000178e+00 -6.571808588255277639e-02 -1.776362750439101912e-01
